feature,stat_type,channel,WT_mean,FAD_mean,p_raw,p_BH,effect_r,significant
max_ch18,max,18,0.90400726,0.97954404,0.6962727236255709,1.0,0.07272727272727272,False
max_ch19,max,19,0.819742,0.77647287,1.0,1.0,0.0,False
max_ch20,max,20,1.207531,1.0060389,0.472909698996303,1.0,0.1318181818181818,False
max_ch21,max,21,0.84941447,0.7159533,0.3077452708442716,1.0,0.18636363636363637,False
max_ch22,max,22,0.72003245,0.59071845,0.6777458230403889,1.0,0.07727272727272727,False
max_ch23,max,23,1.0292876,0.9549053,0.9698659091539126,1.0,0.00909090909090909,False
max_ch24,max,24,0.9491331,0.8669148,0.889834438885563,1.0,0.02727272727272727,False
max_ch25,max,25,0.9513508,0.8410453,0.605660011147294,1.0,0.09545454545454546,False
max_ch26,max,26,0.83717746,0.76874775,0.6962727236255709,1.0,0.07272727272727272,False
max_ch27,max,27,1.2165737,1.0178012,0.6962727236255709,1.0,0.07272727272727272,False
max_ch28,max,28,0.8143097,0.6315974,0.4130774065134377,1.0,0.15,False
max_ch29,max,29,0.8800977,0.8018068,0.8109110008893885,1.0,0.045454545454545456,False
max_ch30,max,30,1.3747156,1.0607176,0.3077452708442716,1.0,0.18636363636363637,False
max_ch31,max,31,1.2962682,1.166365,0.6962727236255709,1.0,0.07272727272727272,False
std_ch0,std,0,0.29444426,0.29369888,0.8699688801390326,1.0,0.031818181818181815,False
std_ch1,std,1,0.25970817,0.23290749,0.45751973518577416,1.0,0.13636363636363635,False
std_ch2,std,2,0.30458054,0.26995838,0.8699688801390326,1.0,0.031818181818181815,False
std_ch3,std,3,0.28899914,0.24849701,0.332247939450943,1.0,0.17727272727272728,False
std_ch4,std,4,0.30609378,0.24723691,0.5881887242224515,1.0,0.1,False
std_ch5,std,5,0.3052265,0.30811644,0.6962727236255709,1.0,0.07272727272727272,False
std_ch6,std,6,0.35850292,0.34011805,1.0,1.0,0.0,False
std_ch7,std,7,0.25710386,0.26728386,0.8501850466767734,1.0,0.03636363636363636,False
std_ch8,std,8,0.2528986,0.23697329,0.8206819320393217,1.0,0.04318181818181818,False
std_ch9,std,9,0.26454464,0.25029656,0.830495093930506,1.0,0.04090909090909091,False
std_ch10,std,10,0.26143286,0.2068219,1.0,1.0,0.0,False
std_ch11,std,11,0.32816368,0.28389752,0.7149826481971533,1.0,0.06818181818181818,False
std_ch12,std,12,0.25982186,0.2101265,0.5041810469308922,1.0,0.12272727272727273,False
std_ch13,std,13,0.2503705,0.24104951,0.8600098405186627,1.0,0.03409090909090909,False
std_ch14,std,14,0.29386204,0.28508484,0.9698646887670357,1.0,0.00909090909090909,False
std_ch15,std,15,0.30145878,0.25938615,0.3988513845729006,1.0,0.15454545454545454,False
std_ch16,std,16,0.31405902,0.28771147,0.7721072972880014,1.0,0.05454545454545454,False
std_ch17,std,17,0.37093884,0.28727877,0.5881887242224515,1.0,0.1,False
std_ch18,std,18,0.24753883,0.24909626,1.0,1.0,0.0,False
std_ch19,std,19,0.24245647,0.21939287,0.8109110008893885,1.0,0.045454545454545456,False
std_ch20,std,20,0.31852528,0.2628566,0.332247939450943,1.0,0.17727272727272728,False
std_ch21,std,21,0.22073694,0.18504752,0.23159717045306172,1.0,0.21818181818181817,False
std_ch22,std,22,0.20631354,0.18018691,0.830495093930506,1.0,0.04090909090909091,False
std_ch23,std,23,0.2761643,0.24754189,0.6962727236255709,1.0,0.07272727272727272,False
std_ch24,std,24,0.2650126,0.2355753,0.9698659091539126,1.0,0.00909090909090909,False
std_ch25,std,25,0.2441345,0.22655767,0.7721072972880014,1.0,0.05454545454545454,False
std_ch26,std,26,0.230285,0.21430755,0.7721072972880014,1.0,0.05454545454545454,False
std_ch27,std,27,0.3181311,0.26252016,0.7338654252600505,1.0,0.06363636363636363,False
std_ch28,std,28,0.22825985,0.18095848,0.5045267455675012,1.0,0.12272727272727273,False
std_ch29,std,29,0.24021235,0.21809368,0.45751973518577416,1.0,0.13636363636363635,False
std_ch30,std,30,0.3493808,0.27525476,0.3198431558381264,1.0,0.18181818181818182,False
std_ch31,std,31,0.31963298,0.29167527,0.8109110008893885,1.0,0.045454545454545456,False
