Subject,Flash_Peak_Max,Flash_Peak_Min,Flash_Peak_P2P,Flash_RMS,ChirpFreq_RMS,ChirpFreq_Std,ChirpAmp_RMS,ChirpAmp_Max,ChirpAmp_P2P,Power_Total,Power_Low,Power_Mid,Power_High
MR-0293,0.9295147580026888,-2.81531953670867,3.744834294711359,0.5164432959965171,0.4425202526527296,0.4425199374189829,0.658878359577985,1.6334303124511593,3.2514916099500075,0.23715771769878977,0.22174464507566968,0.012056838187750359,0.0020937407812975264
MR-0294,1.286537441805068,-2.3445275078663306,3.6310649496713987,0.46370334511961603,0.4302771335612148,0.4302751158011908,0.5694346039531542,1.524501724201008,2.972243468518316,0.19641917124099761,0.16977094384993177,0.021298073914893755,0.0037802542723925693
MR-0296-t1,1.3188501412178164,-3.3216331273101805,4.640483268527997,0.5834108918102798,0.5275492362712085,0.5275299328672001,0.6910706421960083,1.6992739990829928,3.5438717005914793,0.29399531498585524,0.27909372945851796,0.011245534142713228,0.003296467537745474
MR-0296-t2,0.9274356338342019,-2.2464268863509376,3.1738625201851396,0.41817654575603574,0.42571851675798095,0.4256601552102115,0.4579790903847653,1.1579709784469552,2.2083810099728236,0.15780026230706737,0.09845459816981975,0.033486834219603245,0.023834080887878438
MR-0298-t1,1.1230196937240609,-2.285169910560919,3.4081896042849795,0.45905938607999147,0.5830911589126958,0.5830907395504473,0.337680261704061,0.8232711847485362,1.8841061564302515,0.21212689886108874,0.08807917258551028,0.07416045089561275,0.04368758245325364
MR-0298-t2,2.296818942660846,-4.984106464077074,7.28092540673792,0.8545037728027902,0.48428905267621275,0.48428291992784905,0.6953274118184286,1.681761791467682,3.732089783367507,0.2895693707106346,0.2762496800637207,0.008993775662766218,0.0034576258802389284
MR-0299-t1,2.237076631630416,-5.794566574624305,8.03164320625472,0.9908030706756359,0.3252541100080073,0.32522721240487695,0.7085266569336484,1.558900179619847,3.2196074443173557,0.25598821300352465,0.24792976390590357,0.0035463405085745057,0.0037024881586590194
MR-0300-t1,1.6370914702803818,-4.045096138134922,5.682187608415304,0.6864710396956079,0.46376704527218215,0.46376346653921624,0.36875938801738534,0.8228392349039358,1.982864400449539,0.17032159270235642,0.09740441047573323,0.041221551313067435,0.028514541577978027
MR-0300-t2,1.1693270225356294,-3.397339536767076,4.566666559302705,0.6122754147055395,0.4952193980256518,0.4952147588519494,0.32877762701339536,0.6491333346507795,1.5723202694260985,0.17762171834164936,0.0992900480346631,0.06258863709363416,0.01473145490924063
MR-0301-t2,2.089833296633258,-4.612065490907054,6.701898787540312,0.8337078272650301,0.44604929542210714,0.4459495285142054,0.7039947658649274,1.6482441885972676,3.6018153963107635,0.27464332470049635,0.2526719929034289,0.012264646080608128,0.008887000461089103
MR-0302-t1,1.7039835932102327,-3.879837647147334,5.583821240357567,0.7179182808351098,0.5399715398438799,0.5399685337095269,0.3960173218754928,0.8103754260653138,2.1326565691576667,0.21261275731325338,0.1032312849720793,0.06838645322850397,0.03763735707794084
MR-0302-t2,0.9977835207827843,-3.517170746183798,4.5149542669665825,0.4187731400212902,0.3416488345327415,0.3416354830008151,0.2645889636385368,0.5813148379462002,1.594072520299259,0.08623847389886032,0.03708985258130868,0.020522174835776473,0.02441569563263865
MR-0303,1.4376568775691396,-3.099731085061373,4.537387962630513,0.6357591291597953,0.712857479860425,0.7128547971228492,0.3938066171910609,0.9032164728520538,2.0154201145958766,0.31935110902601405,0.13251115852642906,0.12456977886505524,0.06067526920142578
MR-0304-t2,1.2513163637566456,-3.842014075679001,5.093330439435647,0.6213939453561094,0.5279498410260332,0.5279424926674998,0.30981546620057265,0.8865505691746531,1.7567770104481868,0.1892932936128243,0.07780396432213295,0.07106698521056384,0.037514049672344285
MR-0305,1.0492431224102787,-2.4742270126062516,3.52347013501653,0.4868812355887418,0.5988412654084385,0.5988257615964384,0.36105843104348906,1.119125096893027,2.28036685739335,0.23146490186026691,0.09800648763855967,0.08476834467191491,0.04771842840093318
