Subject,Label,P_Intact,P_No_Drift,P_No_Fund,P_No_Harm,Drop_from_Drift,Drop_from_Fund,Drop_from_Harm
MR-0296-t1,WT,0.39376734793186186,0.4012496620416641,0.34212074875831605,0.3826465427875519,0.007482314109802268,-0.051646599173545804,-0.011120805144309964
MR-0296-t2,WT,0.6642505764961243,0.6770668745040893,0.41096554398536683,0.6317891120910645,0.012816298007965021,-0.25328503251075746,-0.032461464405059814
MR-0298-t1,WT,0.5076711356639863,0.5163903653621673,0.26604004502296447,0.5729549825191498,0.008719229698181064,-0.24163109064102178,0.06528384685516353
MR-0298-t2,WT,0.7441847562789917,0.7452719688415528,0.5988531768321991,0.6523911356925964,0.0010872125625610574,-0.14533157944679265,-0.09179362058639529
MR-0299-t1,WT,0.5934116005897522,0.5833149313926697,0.33195672929286957,0.6849705696105957,-0.01009666919708252,-0.2614548712968826,0.09155896902084348
MR-0300-t1,WT,0.7405091643333435,0.737088930606842,0.5415268659591674,0.6951570868492126,-0.003420233726501465,-0.19898229837417603,-0.04535207748413084
MR-0300-t2,WT,0.42892956733703613,0.42073271572589876,0.2308414727449417,0.6634228944778442,-0.008196851611137368,-0.19808809459209442,0.23449332714080806
MR-0301-t2,5xFAD,0.7457736492156982,0.7455994009971618,0.3392463445663452,0.6533568382263184,0.00017424821853639916,0.406527304649353,0.09241681098937982
MR-0302-t1,5xFAD,0.7679205417633057,0.7667931914329529,0.5609817802906036,0.6930908560752869,0.0011273503303528276,0.20693876147270207,0.07482968568801884
MR-0302-t2,5xFAD,0.761846399307251,0.7612688064575195,0.5442636787891388,0.7008639454841614,0.0005775928497314675,0.21758272051811212,0.06098245382308953
MR-0303,WT,0.42056667506694795,0.42242240756750105,0.3715635225176811,0.44045430421829224,0.0018557325005530978,-0.04900315254926685,0.019887629151344288
MR-0304-t2,5xFAD,0.6551880717277527,0.6536729514598847,0.30992896407842635,0.6589014172554016,0.001515120267868042,0.3452591076493264,-0.0037133455276489036
MR-0305,5xFAD,0.7511568307876587,0.769752025604248,0.21660494506359101,0.665048348903656,-0.018595194816589333,0.5345518857240676,0.08610848188400266
MR-0306,WT,0.3650929659605026,0.3576690346002579,0.21529118716716766,0.46646913290023806,-0.007423931360244718,-0.14980177879333495,0.10137616693973545
MR-0307-t2,5xFAD,0.7629412531852722,0.7630430221557617,0.4723537862300873,0.6991718173027038,-0.00010176897048952416,0.2905874669551849,0.06376943588256834
MR-0309,WT,0.18715963400900365,0.18568410389125348,0.19801331758499147,0.3186233311891556,-0.0014755301177501734,0.010853683575987816,0.13146369718015194
MR-0310,5xFAD,0.5215303152799606,0.5219078555703163,0.2223869800567627,0.4069767683744431,-0.00037754029035563796,0.2991433352231979,0.11455354690551756
MR-0311,WT,0.5302744030952453,0.5216030538082123,0.18803914375603198,0.6707294821739197,-0.008671349287033059,-0.34223525933921334,0.14045507907867438
MR-0312,5xFAD,0.7381116151809692,0.7372740626335144,0.3162195697426796,0.6900731444358825,0.0008375525474548784,0.4218920454382896,0.048038470745086714
MR-0313,5xFAD,0.7541661620140075,0.7561592578887939,0.512965875864029,0.6986204504966735,-0.0019930958747863547,0.24120028614997857,0.05554571151733401
MR-0447,5xFAD,0.7379907369613647,0.7375497698783875,0.6028414785861969,0.598432743549347,0.0004409670829772505,0.1351492583751679,0.1395579934120178
MR-0474,WT,0.2626192271709442,0.2653874158859253,0.2700636863708496,0.36371656209230424,0.002768188714981079,0.007444459199905384,0.10109733492136003
MR-0491,WT,0.19460443407297134,0.1934857562184334,0.20342983528971673,0.273943392932415,-0.0011186778545379528,0.008825401216745382,0.07933895885944364
