subject,label,pred,prob_fad,attn_pos_0,attn_pos_1,attn_pos_2,attn_pos_3,attn_pos_4,attn_pos_5,attn_pos_6,attn_pos_7,attn_pos_8,attn_pos_9,attn_pos_10,attn_pos_11,attn_pos_12,attn_pos_13,attn_pos_14,attn_pos_15,attn_pos_16,attn_pos_17,attn_pos_18,attn_pos_19,attn_pos_20,attn_pos_21
MR-0306,0,1,0.5207527875900269,0.029735010117292404,0.038990993052721024,0.04210231825709343,0.03959830105304718,0.04067131504416466,0.040859539061784744,0.043315913528203964,0.0406433567404747,0.041854627430438995,0.03925125300884247,0.043932653963565826,0.04310057312250137,0.046798963099718094,0.05431293696165085,0.04781470075249672,0.06580018252134323,0.054130036383867264,0.065090112388134,0.04522336646914482,0.05764232575893402,0.04178842902183533,0.03734312951564789
MR-0491,0,0,0.4662511348724365,0.030374571681022644,0.0376519039273262,0.03853794187307358,0.040099404752254486,0.04035644233226776,0.040341563522815704,0.049376122653484344,0.03826124221086502,0.04522942379117012,0.051771413534879684,0.045908231288194656,0.05217994377017021,0.035617683082818985,0.04800669103860855,0.036639660596847534,0.05412416532635689,0.04004165902733803,0.06697998195886612,0.057739563286304474,0.07434137165546417,0.04109383001923561,0.03532722592353821
MR-0273,0,1,0.550629198551178,0.0343627892434597,0.0414867140352726,0.04681715741753578,0.044326331466436386,0.044019147753715515,0.04676670581102371,0.0443221814930439,0.04573017358779907,0.041172996163368225,0.04489074647426605,0.040794167667627335,0.04586315155029297,0.04520053043961525,0.04954656586050987,0.050798553973436356,0.056934140622615814,0.047340862452983856,0.04853024333715439,0.03885026276111603,0.05630132555961609,0.04435821250081062,0.04158703610301018
MR-0282,0,1,0.5136352181434631,0.030071478337049484,0.03712426498532295,0.04150708019733429,0.04081570729613304,0.04166672006249428,0.0393369235098362,0.04089619591832161,0.040715914219617844,0.042150359600782394,0.03954687342047691,0.04419739916920662,0.04067784920334816,0.046070389449596405,0.050868771970272064,0.05293700844049454,0.06269163638353348,0.058558832854032516,0.06785491108894348,0.0447557233273983,0.06042145565152168,0.041219890117645264,0.03591470047831535
MR-0289,0,1,0.5130181908607483,0.02717471495270729,0.03863849118351936,0.050837233662605286,0.038046952337026596,0.03639931604266167,0.04529622569680214,0.04095833748579025,0.039801448583602905,0.056705035269260406,0.044402748346328735,0.04407722130417824,0.04031114652752876,0.04095291346311569,0.050137605518102646,0.04939397796988487,0.060059841722249985,0.054120197892189026,0.05793433636426926,0.03680926933884621,0.06006118282675743,0.04219144582748413,0.04569034278392792
MR-0278,1,1,0.5579004287719727,0.034630365669727325,0.04334282875061035,0.04746968671679497,0.045870278030633926,0.04520956426858902,0.04875161126255989,0.04785778373479843,0.04436814785003662,0.04528183490037918,0.040839385241270065,0.0538490004837513,0.036467019468545914,0.04849987477064133,0.04001578316092491,0.046962037682533264,0.04338986799120903,0.04721702262759209,0.0555037222802639,0.03978228569030762,0.05785660445690155,0.046123966574668884,0.04071136564016342
MR-0285-t1,1,1,0.5311826467514038,0.02944723516702652,0.03955564647912979,0.04029487073421478,0.05111132189631462,0.05294620990753174,0.04251473397016525,0.05449570342898369,0.040429018437862396,0.06154942139983177,0.04252322390675545,0.06142866611480713,0.036978043615818024,0.06777119636535645,0.030849000439047813,0.06831536442041397,0.029271675273776054,0.04615036025643349,0.03590121120214462,0.026915058493614197,0.05593632161617279,0.03450560197234154,0.0511101558804512
MR-0290,1,1,0.5490450859069824,0.03352602943778038,0.04187310114502907,0.046479832381010056,0.044835008680820465,0.04613668844103813,0.04375028237700462,0.048441629856824875,0.044384490698575974,0.047303248196840286,0.04504130035638809,0.044167906045913696,0.039905451238155365,0.04461527615785599,0.04027552902698517,0.047454994171857834,0.0458233617246151,0.049412328749895096,0.0625433549284935,0.04405754432082176,0.05500068515539169,0.045403365045785904,0.039568595588207245
MR-0292-t1,1,1,0.5497488975524902,0.03400339186191559,0.041854698210954666,0.04561831057071686,0.045003075152635574,0.0457008071243763,0.045649562031030655,0.04756036400794983,0.04325159639120102,0.04523226246237755,0.040770672261714935,0.042000360786914825,0.03904213756322861,0.04258204624056816,0.043078526854515076,0.04953397065401077,0.05242329463362694,0.05004693940281868,0.06311319768428802,0.04038463532924652,0.05472254753112793,0.04640251025557518,0.042025160044431686
MR-0296-t1,0,0,0.4403708875179291,0.03882105275988579,0.03872395306825638,0.03507552668452263,0.0358525887131691,0.034187693148851395,0.03285601735115051,0.03521111235022545,0.025884874165058136,0.04480168595910072,0.02339761331677437,0.0459904745221138,0.03021416813135147,0.05601629987359047,0.03668332099914551,0.09495455026626587,0.045280106365680695,0.12220817804336548,0.05355994403362274,0.06591407209634781,0.040043048560619354,0.03692883998155594,0.027394939213991165
MR-0309,0,0,0.3396665155887604,0.033024195581674576,0.03317489102482796,0.032052818685770035,0.0332767590880394,0.02821260504424572,0.0391230508685112,0.0268462635576725,0.03616798669099808,0.03784029185771942,0.047836922109127045,0.05540706589818001,0.07859251648187637,0.05876383185386658,0.0746760293841362,0.0654887929558754,0.07242888957262039,0.07228752225637436,0.052787505090236664,0.039336252957582474,0.02738160640001297,0.031183118000626564,0.024111030623316765
MR-0311,0,1,0.6309250593185425,0.05363210663199425,0.05648127570748329,0.05542170628905296,0.054448939859867096,0.052063751965761185,0.0605398528277874,0.05085603520274162,0.048388268798589706,0.04041377827525139,0.03972182795405388,0.03214005008339882,0.03636199235916138,0.03266459330916405,0.031245118007063866,0.04008646681904793,0.03111056052148342,0.0480145663022995,0.03366437181830406,0.07030905783176422,0.03865385428071022,0.04969923570752144,0.04408256337046623
MR-0284,0,1,0.5964952111244202,0.05783051997423172,0.061491530388593674,0.06209380179643631,0.05563613027334213,0.07227698713541031,0.054523419588804245,0.052930232137441635,0.058270104229450226,0.029592331498861313,0.040163032710552216,0.031678978353738785,0.039924632757902145,0.03143160045146942,0.03278104215860367,0.035674117505550385,0.029471522197127342,0.03417012467980385,0.0351681262254715,0.04559632018208504,0.03688439726829529,0.05947435647249222,0.04293668642640114
MR-0288-t2,0,0,0.4643138349056244,0.042169615626335144,0.042593762278556824,0.03759882599115372,0.038807213306427,0.03790191933512688,0.03850115090608597,0.01829252950847149,0.04646386206150055,0.03343813121318817,0.026446230709552765,0.03696645423769951,0.03542405366897583,0.05901183560490608,0.03586594760417938,0.09317316114902496,0.046142272651195526,0.09857548028230667,0.04519788548350334,0.07351589947938919,0.041577622294425964,0.0415557399392128,0.030780358240008354
MR-0307-t2,1,1,0.6538496017456055,0.0583997406065464,0.05797868221998215,0.05263952165842056,0.05255656689405441,0.05160440504550934,0.055563535541296005,0.05866631120443344,0.05986948683857918,0.058518022298812866,0.04496607556939125,0.048857588320970535,0.03395000100135803,0.03742295131087303,0.024901550263166428,0.032617080956697464,0.021068889647722244,0.032954633235931396,0.029344948008656502,0.04999089241027832,0.04149002954363823,0.0546751394867897,0.041964005678892136
