subject,label,pred,prob_fad,attn_pos_0,attn_pos_1,attn_pos_2,attn_pos_3,attn_pos_4,attn_pos_5,attn_pos_6,attn_pos_7,attn_pos_8,attn_pos_9,attn_pos_10,attn_pos_11,attn_pos_12,attn_pos_13,attn_pos_14
MR-0309,0,0,0.298251748085022,0.041710015386343,0.12428762763738632,0.03588767349720001,0.026064395904541016,0.024028435349464417,0.04385579377412796,0.04848925769329071,0.4753479063510895,0.01919609308242798,0.02596612274646759,0.025296036154031754,0.027354132384061813,0.025796614587306976,0.029987554997205734,0.02673233114182949
MR-0296-t1,0,0,0.43655839562416077,0.1262364536523819,0.37411734461784363,0.03240158036351204,0.03264062851667404,0.03664206340909004,0.055981043726205826,0.04012853652238846,0.036265499889850616,0.04140007123351097,0.03560500219464302,0.029662316665053368,0.03960840776562691,0.03328881412744522,0.05256228521466255,0.03345993906259537
MR-0288-t2,0,0,0.29976987838745117,0.05460744723677635,0.38966238498687744,0.05501473322510719,0.07248275727033615,0.022347204387187958,0.02748418040573597,0.024583641439676285,0.024346446618437767,0.023856746032834053,0.024406371638178825,0.023114603012800217,0.0356019027531147,0.10650373250246048,0.10090203583240509,0.01508583314716816
MR-0284,0,0,0.42145442962646484,0.15346013009548187,0.33858704566955566,0.03148443624377251,0.028033211827278137,0.029470982030034065,0.04312865436077118,0.044272392988204956,0.07873667776584625,0.03164731711149216,0.03181426227092743,0.02691206894814968,0.03458486497402191,0.030666423961520195,0.06290054321289062,0.03430093824863434
MR-0307-t2,1,0,0.46370166540145874,0.20174521207809448,0.3029474914073944,0.03770468384027481,0.030688852071762085,0.030831625685095787,0.03220658004283905,0.030971819534897804,0.030490083619952202,0.03040510043501854,0.03182125464081764,0.031968507915735245,0.036255937069654465,0.04844755679368973,0.08100762218236923,0.04250770062208176
MR-0447,1,0,0.38779619336128235,0.20800654590129852,0.21682430803775787,0.03891918063163757,0.032304923981428146,0.03363883122801781,0.060539089143276215,0.06253501772880554,0.07273906469345093,0.03915540874004364,0.03252807632088661,0.03129091486334801,0.03359286114573479,0.052295438945293427,0.04959515109658241,0.03603523224592209
MR-0287,1,0,0.34673604369163513,0.08959849923849106,0.44716525077819824,0.03893964737653732,0.0297728031873703,0.030801666900515556,0.033341970294713974,0.031005358323454857,0.03707892447710037,0.03213496878743172,0.033141981810331345,0.03110400401055813,0.03545323759317398,0.03675343841314316,0.059027817100286484,0.03468041121959686
MR-0280-t2,1,1,0.5107920169830322,0.13068929314613342,0.4181614816188812,0.02700468897819519,0.033076830208301544,0.03381933644413948,0.03244299069046974,0.03439260646700859,0.029433144256472588,0.03027964197099209,0.034102655947208405,0.02644992247223854,0.03459998965263367,0.03765929490327835,0.06569426506757736,0.03219384327530861
MR-0299-t1,0,0,0.1968296468257904,0.11063963174819946,0.007784511893987656,0.017323408275842667,0.049484048038721085,0.06312067061662674,0.022903619334101677,0.05537540838122368,0.015453541651368141,0.04530222341418266,0.026054387912154198,0.4832569360733032,0.025778166949748993,0.05567975342273712,0.012994271703064442,0.008849390782415867
MR-0300-t1,0,1,0.8152135610580444,0.21590736508369446,0.04743212088942528,0.018950019031763077,0.03095165640115738,0.040699899196624756,0.09818149358034134,0.038390208035707474,0.03707253560423851,0.030438611283898354,0.03038376197218895,0.17866216599941254,0.06205839663743973,0.10030567646026611,0.038903672248125076,0.03166240081191063
MR-0270,0,1,0.8805273771286011,0.30481839179992676,0.03666605427861214,0.01698404923081398,0.028622351586818695,0.035486768931150436,0.04233201593160629,0.0347774438560009,0.049590498208999634,0.03368997946381569,0.025348568335175514,0.18334144353866577,0.04847254976630211,0.09121987968683243,0.04071963205933571,0.02793036587536335
MR-0283-t2,0,1,0.8184329867362976,0.19521576166152954,0.05655816197395325,0.030794791877269745,0.061622437089681625,0.04078426957130432,0.03092753142118454,0.022500930353999138,0.07313833385705948,0.03869263827800751,0.03973587229847908,0.1866883486509323,0.06049098074436188,0.10171161592006683,0.0349741131067276,0.026164239272475243
MR-0310,1,0,0.006906021386384964,0.013728713616728783,0.0023969768080860376,0.0014721309999004006,0.002015989739447832,0.933493435382843,0.01664861850440502,0.003147764829918742,0.004178167786449194,0.0020823159720748663,0.00170228723436594,0.0034113572910428047,0.004554746672511101,0.005833551287651062,0.0032138170208781958,0.0021201283670961857
MR-0305,1,1,0.8633275032043457,0.2809678614139557,0.02477000653743744,0.013290110975503922,0.01920454017817974,0.2683955729007721,0.0723506435751915,0.028945114463567734,0.05606774613261223,0.023792250081896782,0.019561801105737686,0.038945272564888,0.03974989801645279,0.06160181760787964,0.03095053695142269,0.021406790241599083
MR-0304-t2,1,0,0.2706391215324402,0.10453552007675171,0.025313138961791992,0.009588885121047497,0.014570806175470352,0.49926453828811646,0.07206578552722931,0.02607547491788864,0.035322368144989014,0.012577218934893608,0.014144868589937687,0.07467477768659592,0.02866971120238304,0.045317817479372025,0.022628696635365486,0.015250388532876968
MR-0302-t2,1,1,0.9314393401145935,0.38828879594802856,0.02197987399995327,0.017681598663330078,0.02732517383992672,0.03315983712673187,0.10493538528680801,0.031197773292660713,0.05091443285346031,0.02533845417201519,0.018627189099788666,0.06058012694120407,0.06565926223993301,0.08770289272069931,0.04431510344147682,0.022294143214821815
MR-0302-t1,1,1,0.9039580821990967,0.3237459659576416,0.030486175790429115,0.020199565216898918,0.028918899595737457,0.06759808957576752,0.07414888590574265,0.034964993596076965,0.03863000124692917,0.03069271706044674,0.026264376938343048,0.0741908997297287,0.06714721769094467,0.10167351365089417,0.05059802532196045,0.03074071556329727
MR-0474,0,0,0.2685490846633911,0.04378893971443176,0.22141429781913757,0.03081122599542141,0.017126813530921936,0.017340445891022682,0.026215149089694023,0.38817042112350464,0.043046120554208755,0.050539664924144745,0.01963213086128235,0.017931928858160973,0.01776798442006111,0.041231341660022736,0.046103451400995255,0.018880117684602737
MR-0296-t2,0,1,0.5108756422996521,0.011887336149811745,0.2874900996685028,0.027533138170838356,0.01651567779481411,0.009730497375130653,0.3690741956233978,0.0717170462012291,0.052451133728027344,0.01708081178367138,0.010147357359528542,0.01615641824901104,0.05347410589456558,0.012180985882878304,0.034204572439193726,0.010356554761528969
