subject,label,pred,prob_fad,attn_pos_0,attn_pos_1,attn_pos_2,attn_pos_3,attn_pos_4,attn_pos_5,attn_pos_6,attn_pos_7,attn_pos_8,attn_pos_9,attn_pos_10,attn_pos_11,attn_pos_12,attn_pos_13,attn_pos_14,attn_pos_15,attn_pos_16,attn_pos_17,attn_pos_18,attn_pos_19,attn_pos_20,attn_pos_21,attn_pos_22,attn_pos_23,attn_pos_24,attn_pos_25,attn_pos_26,attn_pos_27,attn_pos_28,attn_pos_29,attn_pos_30,attn_pos_31
MR-0306,0,0,0.33725735545158386,0.008572235703468323,0.00962909311056137,0.009064392186701298,0.06689302623271942,0.008929836563766003,0.019533731043338776,0.007914787158370018,0.005548714194446802,0.008993444964289665,0.006503161508589983,0.0050360653549432755,0.004907289985567331,0.004176082089543343,0.002754650544375181,0.009610901586711407,0.01870128884911537,0.10235722362995148,0.007274821866303682,0.018241357058286667,0.013728877529501915,0.015252796933054924,0.07260437309741974,0.09211396425962448,0.043925948441028595,0.1588558703660965,0.09274246543645859,0.05348324030637741,0.05461587756872177,0.03871754929423332,0.012369942851364613,0.015033512376248837,0.0119134820997715
MR-0491,0,0,0.13060764968395233,0.008717281743884087,0.008578495122492313,0.009552974253892899,0.026776226237416267,0.6113726496696472,0.023053757846355438,0.004956759978085756,0.025320684537291527,0.014399325475096703,0.011283757165074348,0.0033957643900066614,0.003065877128392458,0.005105423275381327,0.00430480157956481,0.008862771093845367,0.01161375641822815,0.05385250598192215,0.024482162669301033,0.01670357771217823,0.008597205393016338,0.007487553637474775,0.01037035882472992,0.008932998403906822,0.010824916884303093,0.009094043634831905,0.008694014512002468,0.00989335123449564,0.011010631918907166,0.011687043122947216,0.013779871165752411,0.005262395367026329,0.008967084810137749
MR-0282,0,0,0.08056610822677612,0.00359021476469934,0.004065312445163727,0.006044209934771061,0.11407937854528427,0.002176160691305995,0.7194211483001709,0.013023932464420795,0.002595537109300494,0.00957461353391409,0.016260338947176933,0.015637682750821114,0.0030599504243582487,0.0033140615560114384,0.004529933910816908,0.003571252105757594,0.005865488667041063,0.004798789042979479,0.004925686866044998,0.004862208850681782,0.004542923532426357,0.004370924551039934,0.004084330517798662,0.0042177364230155945,0.004057064652442932,0.00450768182054162,0.004562774673104286,0.004854836966842413,0.004550153389573097,0.004866844043135643,0.004987508058547974,0.004726175218820572,0.004275201354175806
MR-0273,0,0,0.024077730253338814,0.0040479740127921104,0.0038781706243753433,0.005943251308053732,0.04395955801010132,0.04756304249167442,0.0672239139676094,0.0037979644257575274,0.007366023026406765,0.6055232882499695,0.048420146107673645,0.00847644917666912,0.007051172666251659,0.008676609955728054,0.006832363083958626,0.005699672270566225,0.006861040834337473,0.006661002989858389,0.008095241151750088,0.007551389746367931,0.006879950873553753,0.006264093331992626,0.007162677124142647,0.006414501927793026,0.00793363992124796,0.007703842129558325,0.0068257530219852924,0.006946351379156113,0.006978204473853111,0.0066629694774746895,0.008570770733058453,0.010311908088624477,0.0077170743606984615
MR-0289,0,1,0.9028187394142151,0.007140741683542728,0.008426569402217865,0.018004605546593666,0.33349743485450745,0.00695447064936161,0.1422482579946518,0.005941697396337986,0.05164290964603424,0.1521628201007843,0.026025934144854546,0.023043619468808174,0.01188174169510603,0.00776064395904541,0.007504924666136503,0.010529523715376854,0.017100010067224503,0.008729538880288601,0.00796683318912983,0.010496929287910461,0.012448636814951897,0.009680872783064842,0.006148216780275106,0.008195259608328342,0.01079363189637661,0.014091186225414276,0.011456970125436783,0.013016562908887863,0.012748814187943935,0.010196047835052013,0.011740480549633503,0.013844740577042103,0.008579385466873646
MR-0292-t1,1,1,0.9906987547874451,0.005680785048753023,0.006593211088329554,0.010040740482509136,0.7425276637077332,0.004798260051757097,0.01810344308614731,0.019512351602315903,0.015318864025175571,0.017819436267018318,0.009638536721467972,0.008027748204767704,0.0060559771955013275,0.008608197793364525,0.00876368023455143,0.005377854220569134,0.005525059532374144,0.008388993330299854,0.005098462104797363,0.007114168722182512,0.006086983252316713,0.005913021974265575,0.005675261840224266,0.005715165752917528,0.0062765758484601974,0.007414370775222778,0.009497704915702343,0.008561779744923115,0.006590915843844414,0.006775099318474531,0.006494283676147461,0.006020182743668556,0.005985199939459562
MR-0278,1,0,0.4067113697528839,0.0028243374545127153,0.0032811807468533516,0.0026600731071084738,0.008250909857451916,0.00401379493996501,0.0037796804681420326,0.003972833044826984,0.002202714793384075,0.00279171927832067,0.04429730772972107,0.10555243492126465,0.09324686974287033,0.12653814256191254,0.01229896117001772,0.039200056344270706,0.05759859085083008,0.22900646924972534,0.10145749151706696,0.06258288770914078,0.021326111629605293,0.004734484013170004,0.0030700683128088713,0.007419051602482796,0.016395963728427887,0.006564544979482889,0.009159674867987633,0.006420062854886055,0.004618143197149038,0.003991093020886183,0.0040580169297754765,0.003439320484176278,0.003247046610340476
MR-0290,1,1,0.9406636357307434,0.008065269328653812,0.008592897094786167,0.009812470525503159,0.6697854399681091,0.007850208319723606,0.01673351414501667,0.028328049927949905,0.0076266988180577755,0.010250632651150227,0.007116924040019512,0.007649265229701996,0.008624184876680374,0.012656708247959614,0.014782811515033245,0.01007802039384842,0.010092535056173801,0.00915655680000782,0.014879420399665833,0.012789908796548843,0.008762761019170284,0.006987578701227903,0.008522465825080872,0.008517562411725521,0.008215860463678837,0.007940452545881271,0.011782635934650898,0.010867439210414886,0.01326141506433487,0.011912706308066845,0.010153674520552158,0.009563346393406391,0.008640595711767673
MR-0285-t1,1,0,0.022850781679153442,0.0026267259381711483,0.0038839620538055897,0.002538600703701377,0.013115338049829006,0.006450027693063021,0.002946555847302079,0.009681878611445427,0.004788334481418133,0.05266006663441658,0.061865709722042084,0.26560524106025696,0.30066439509391785,0.0655454620718956,0.0032885423861443996,0.01224722433835268,0.01825404167175293,0.06346574425697327,0.013693594373762608,0.01316891796886921,0.018552087247371674,0.00408772099763155,0.00306481565348804,0.011643889360129833,0.00905073806643486,0.004722368437796831,0.007870127446949482,0.008074533194303513,0.003747724462300539,0.0037237475626170635,0.003120985347777605,0.0026886442210525274,0.003162248060107231
MR-0311,0,1,0.5830807685852051,0.005269001703709364,0.005990964360535145,0.007655592169612646,0.005663423798978329,0.012111089192330837,0.008901541121304035,0.014665128663182259,0.010448789224028587,0.009706130251288414,0.009726031683385372,0.010569466277956963,0.013663157820701599,0.020011674612760544,0.032740261405706406,0.08242786675691605,0.132330060005188,0.0864778608083725,0.05836542695760727,0.02465914934873581,0.03657977283000946,0.03372034803032875,0.03940998762845993,0.06779450923204422,0.09246155619621277,0.059135839343070984,0.04450947046279907,0.021087219938635826,0.01554960198700428,0.010255662724375725,0.01112822163850069,0.009675380773842335,0.007309813052415848
