Subject,nAUC_15,nAUC_30,nAUC_45,nAUC_all,LRS_15,LRS_30,LRS_45,LRS_all
MR-0285-t2,0.3926619320429077,0.44664538596033054,0.423995132108017,0.4423230737168145,0.025723251936239398,-0.008722693125881273,-0.0010249102543126037,0.0017988685989185744
MR-0287,0.19453125064541688,0.32390237978365266,0.43282178803038796,0.3323522704930552,0.015277446395902816,0.007483539037881002,0.008314686407841184,0.008802101167409718
MR-0288-t1,0.24726287311691245,0.432562959808955,0.5364077016574632,0.42575305733159036,0.02145147532235065,0.009206013089952905,0.007413144184756355,0.01071766771343762
MR-0288-t2,0.27002086208902243,0.34654385855465664,0.38470509431499944,0.35080938496912173,0.020791005022080374,0.0023207735269196177,0.0019773969600545014,0.004725985670457837
MR-0289,0.49819419718770414,0.6944775469712643,0.6912777528902126,0.6599730479451075,0.04186080964541323,-0.005515507067360917,0.0021898252384596538,0.007723457800973968
MR-0290,0.2706461361766559,0.48986102538483245,0.6374194928375508,0.4890749507554172,0.024432481812009035,0.011898312981098788,0.00746601708294608,0.01337192328446299
MR-0291,0.37657383848767717,0.48700805395890623,0.5616778046903619,0.4984921354851834,0.023636277035127756,0.0059157549251985745,0.006229601985167862,0.007407364011712688
MR-0292-t1,0.41038556865665077,0.7863491715083167,1.0404856006870946,0.78304347808259,0.042136719342893515,0.01814116722683042,0.014456901176700366,0.022920799444289746
MR-0292-t2,0.3680011947204563,0.5622961388355285,0.6499224566982044,0.5528723497971672,0.028310808301718223,0.007447309458326003,0.009006528104655234,0.010794165677322397
MR-0293,0.48630643119516903,0.7906276188640189,0.8079761868718504,0.7308008457584751,0.04166520546130562,0.010218281203491686,-0.0008498946360687518,0.012323259662798963
MR-0296-t1,0.38657709591624556,0.5549026296547287,0.6356988382876595,0.5518933447659412,0.027712731273966524,0.001955284239089208,0.004751738296525775,0.00927734684290341
MR-0296-t2,0.6013698681146378,0.835985140136142,1.0056198697693541,0.8538161685179932,0.04071861237081228,0.010587163884603814,0.01141685102532715,0.015305691641287401
MR-0298-t1,0.6011152490656471,0.8071521211218987,0.8971618223582437,0.8073661942642754,0.025379150034809488,0.007998613303903066,0.006283558930955623,0.011106952776756693
MR-0298-t2,0.3553711526793476,0.512750592431155,0.6054584112376535,0.5161554350944644,0.02353751131042334,0.00704363294942873,0.0027440217975692872,0.009229285234086625
MR-0299-t1,0.39256819307717145,0.5361693600271029,0.6662722527634322,0.5571967415390782,0.017767848567741468,0.007002868618038335,0.00985533166716456,0.010083507430599723
